dataset,accuracy,precision,recall,f1_score,roc_auc,g_mean
dataset_1000_hypothyroid_predictions.csv,0.934,0.744,0.685,0.642,0.82,0.792
dataset_1002_ipums_la_98-small_predictions.csv,0.602,0.149,0.589,0.214,0.596,0.495
dataset_1004_synthetic_control_predictions.csv,0.933,0.844,1.0,0.89,0.96,0.956
dataset_1013_analcatdata_challenger_predictions.csv,0.935,0.0,0.0,0.0,0.5,0.0
dataset_1014_analcatdata_dmft_predictions.csv,0.806,0.0,0.0,0.0,0.5,0.0
dataset_1016_vowel_predictions.csv,0.486,0.153,1.0,0.265,0.717,0.655
dataset_1018_ipums_la_99-small_predictions.csv,0.368,0.092,0.926,0.165,0.628,0.518
dataset_1020_mfeat-karhunen_predictions.csv,0.652,0.367,0.99,0.472,0.802,0.761
dataset_1021_page-blocks_predictions.csv,0.85,0.549,0.855,0.634,0.852,0.842
dataset_1022_mfeat-pixel_predictions.csv,0.674,0.347,0.995,0.463,0.816,0.785
dataset_1023_soybean_predictions.csv,0.741,0.536,0.871,0.573,0.796,0.772
dataset_1045_kc1-top5_predictions.csv,0.779,0.095,0.6,0.164,0.694,0.489
dataset_1049_pc4_predictions.csv,0.688,0.199,0.472,0.26,0.595,0.535
dataset_1050_pc3_predictions.csv,0.737,0.243,0.55,0.27,0.654,0.593
dataset_1056_mc1_predictions.csv,0.7,0.019,0.62,0.038,0.66,0.545
dataset_1059_ar1_predictions.csv,0.884,0.267,0.4,0.3,0.664,0.467
dataset_1061_ar4_predictions.csv,0.697,0.481,0.5,0.377,0.622,0.467
dataset_1064_ar6_predictions.csv,0.662,0.122,0.2,0.144,0.471,0.29
dataset_1065_kc3_predictions.csv,0.619,0.183,0.55,0.201,0.589,0.405
dataset_311_oil_spill_predictions.csv,0.532,0.104,0.858,0.179,0.688,0.607
dataset_312_scene_predictions.csv,0.989,1.0,0.94,0.969,0.97,0.969
dataset_316_yeast_ml8_predictions.csv,0.986,0.0,0.0,0.0,0.5,0.0
dataset_38_sick_predictions.csv,0.874,0.478,0.62,0.407,0.755,0.699
dataset_450_analcatdata_lawsuit_predictions.csv,0.289,0.094,1.0,0.171,0.616,0.445
dataset_463_backache_predictions.csv,0.772,0.322,0.28,0.281,0.566,0.482
dataset_757_meta_predictions.csv,0.588,0.208,0.687,0.276,0.632,0.557
dataset_764_analcatdata_apnea3_predictions.csv,0.878,0.0,0.0,0.0,0.5,0.0
dataset_765_analcatdata_apnea2_predictions.csv,0.716,0.025,0.2,0.045,0.5,0.0
dataset_767_analcatdata_apnea1_predictions.csv,0.872,0.0,0.0,0.0,0.5,0.0
dataset_865_analcatdata_neavote_predictions.csv,0.93,0.0,0.0,0.0,0.5,0.0
dataset_867_visualizing_livestock_predictions.csv,0.8,0.067,0.04,0.05,0.51,0.085
dataset_875_analcatdata_chlamydia_predictions.csv,0.71,0.336,0.75,0.444,0.729,0.604
dataset_940_water-treatment_predictions.csv,0.6,0.164,0.388,0.219,0.513,0.456
dataset_947_arsenic-male-bladder_predictions.csv,0.828,0.051,0.24,0.082,0.547,0.267
dataset_949_arsenic-female-bladder_predictions.csv,0.625,0.22,0.338,0.184,0.505,0.369
dataset_950_arsenic-female-lung_predictions.csv,0.803,0.155,0.85,0.254,0.826,0.814
dataset_951_arsenic-male-lung_predictions.csv,0.998,1.0,0.933,0.96,0.967,0.963
dataset_954_spectrometer_predictions.csv,0.833,0.433,0.964,0.575,0.891,0.884
dataset_958_segment_predictions.csv,0.977,0.877,0.994,0.929,0.984,0.984
dataset_962_mfeat-morphological_predictions.csv,0.634,0.309,0.81,0.326,0.712,0.629
dataset_966_analcatdata_halloffame_predictions.csv,0.715,0.241,0.896,0.375,0.796,0.785
dataset_968_analcatdata_birthday_predictions.csv,0.742,0.509,0.902,0.609,0.808,0.702
dataset_971_mfeat-fourier_predictions.csv,0.941,0.661,1.0,0.787,0.967,0.966
dataset_976_JapaneseVowels_predictions.csv,0.891,0.653,0.9,0.742,0.895,0.893
dataset_978_mfeat-factors_predictions.csv,0.638,0.243,0.995,0.384,0.797,0.762
dataset_980_optdigits_predictions.csv,0.786,0.481,0.991,0.604,0.877,0.858
dataset_984_analcatdata_draft_predictions.csv,0.477,0.082,0.605,0.143,0.535,0.376
dataset_987_collins_predictions.csv,0.888,0.546,0.325,0.4,0.66,0.434
dataset_995_mfeat-zernike_predictions.csv,0.746,0.297,0.99,0.453,0.854,0.841
